synthHD Pro power [W],det power [dBm],amp current [A],amp power [W]
-30.0,-39.796299999999995,3.91,0.65
-29.75,-39.80433000000001,3.91,0.65
-29.5,-39.787804,3.91,0.65
-29.25,-39.765097999999995,3.91,0.65
-29.0,-39.750648,3.91,0.65
-28.75,-39.735186,3.91,0.65
-28.5,-39.718849999999996,3.91,0.65
-28.25,-39.70085,3.91,0.65
-28.0,-39.691232,3.91,0.65
-27.75,-39.67018,3.91,0.65
-27.5,-39.64787,3.91,0.65
-27.25,-39.634026,3.91,0.65
-27.0,-39.60859,3.91,0.65
-26.75,-39.587776000000005,3.91,0.65
-26.5,-39.551896,3.91,0.65
-26.25,-39.515221999999994,3.91,0.65
-26.0,-39.476676,3.91,0.65
-25.75,-39.428088,3.91,0.65
-25.5,-39.374297999999996,3.91,0.65
-25.25,-39.314018,3.91,0.65
-25.0,-39.247662,3.91,0.65
-24.75,-39.168024,3.91,0.65
-24.5,-39.076919999999994,3.91,0.65
-24.25,-38.977746,3.91,0.65
-24.0,-38.839966000000004,3.91,0.65
-23.75,-38.65662,3.91,0.65
-23.5,-38.434618,3.91,0.65
-23.25,-38.176472,3.91,0.65
-23.0,-37.895576,3.91,0.65
-22.75,-37.602548,3.85,0.64
-22.5,-37.263066,3.91,0.65
-22.25,-36.883138,3.85,0.64
-22.0,-36.455908,3.91,0.65
-21.75,-35.977472,3.85,0.64
-21.5,-35.454814000000006,3.91,0.65
-21.25,-34.876954,3.85,0.64
-21.0,-34.26946,3.85,0.64
-20.75,-33.605154,3.91,0.65
-20.5,-32.871871999999996,3.85,0.64
-20.25,-32.06296400000001,3.85,0.64
-20.0,-31.19362,3.85,0.64
-19.75,-30.294688,3.85,0.64
-19.5,-29.358508,3.85,0.64
-19.25,-28.400296000000004,3.91,0.65
-19.0,-27.401922000000003,3.85,0.64
-18.75,-26.385659999999994,3.85,0.64
-18.5,-25.365938,3.91,0.65
-18.25,-24.361266,3.91,0.65
-18.0,-23.379286,3.91,0.65
-17.75,-22.375334,3.91,0.65
-17.5,-21.42673,3.85,0.64
-17.25,-20.469814,3.85,0.64
-17.0,-19.517442,3.85,0.64
-16.75,-18.548704,3.85,0.64
-16.5,-17.596898,3.85,0.64
-16.25,-16.654876,3.91,0.65
-16.0,-15.748517999999999,3.85,0.64
-15.75,-14.880332,3.85,0.64
-15.5,-14.060849999999999,3.85,0.64
-15.25,-13.288982,3.85,0.64
-15.0,-12.589595999999998,3.85,0.64
-14.75,-11.967535999999999,3.85,0.64
-14.5,-11.396486,3.85,0.64
-14.25,-10.881458,3.85,0.64
-14.0,-10.385591999999999,3.85,0.64
-13.75,-9.911773199999999,3.85,0.64
-13.5,-9.4207746,3.85,0.64
-13.25,-8.888676799999999,3.85,0.64
-13.0,-8.2966296,3.85,0.64
-12.75,-7.6173524,3.85,0.64
-12.5,-6.828219399999999,3.85,0.64
-12.25,-5.8952814,3.85,0.64
-12.0,-4.795682,3.85,0.64
-11.75,-3.5413944,3.85,0.64
-11.5,-2.1260817999999997,3.85,0.64
-11.25,-0.50308398,3.85,0.64
-11.0,1.299111,3.85,0.64
-10.75,4.3599752,3.85,0.64
-10.5,6.214089800000001,3.85,0.64
-10.25,6.2429702,3.85,0.64
-10.0,7.498461799999999,3.85,0.64
-9.75,8.1793042,3.85,0.64
-9.5,8.6665086,3.85,0.64
-9.25,9.2253214,3.85,0.64
-9.0,9.5178832,3.85,0.64
-8.75,9.6633964,3.85,0.64
-8.5,9.7450206,3.85,0.64
-8.25,9.7970498,3.85,0.64
-8.0,9.8318738,3.85,0.64
-7.75,9.8553516,3.85,0.64
-7.5,9.8726576,3.85,0.64
-7.25,9.8838816,3.85,0.64
-7.0,9.894133400000001,3.85,0.64
-6.75,9.9022766,3.85,0.64
-6.5,9.909078999999998,3.85,0.64
-6.25,9.9147886,3.85,0.64
-6.0,9.919027199999999,3.85,0.64
-5.75,9.9280238,3.85,0.64
-5.5,9.925728799999998,3.85,0.64
-5.25,9.9271458,3.85,0.64
-5.0,9.930231,3.85,0.64
