frequency [Hz],synthHD Pro power [dBm],det power [dBm]
10000000000.0,-30.0,-27.015992
10000000000.0,-29.3,-26.503712
10000000000.0,-28.6,-25.985955999999998
10000000000.0,-27.9,-25.474349999999998
10000000000.0,-27.2,-24.94479
10000000000.0,-26.5,-24.289911999999998
10000000000.0,-25.8,-23.649694
10000000000.0,-25.1,-23.057665999999998
10000000000.0,-24.4,-22.520272
10000000000.0,-23.7,-21.895526
10000000000.0,-23.0,-21.23077
10000000000.0,-22.3,-20.645799999999998
10000000000.0,-21.6,-20.045455999999998
10000000000.0,-20.9,-19.431488
10000000000.0,-20.200000000000003,-18.768672
10000000000.0,-19.5,-18.064224
10000000000.0,-18.8,-17.346365999999996
10000000000.0,-18.1,-16.63687
10000000000.0,-17.4,-15.970648
10000000000.0,-16.700000000000003,-15.311162000000001
10000000000.0,-16.0,-14.645750000000001
10000000000.0,-15.3,-13.969894
10000000000.0,-14.600000000000001,-13.281208000000001
10000000000.0,-13.900000000000002,-12.589364
10000000000.0,-13.200000000000003,-11.892914000000001
10000000000.0,-12.5,-11.182590000000001
10000000000.0,-11.8,-10.468896
10000000000.0,-11.100000000000001,-9.7561718
10000000000.0,-10.400000000000002,-9.063081399999998
10000000000.0,-9.700000000000003,-8.367007000000001
10000000000.0,-9.0,-7.6732378
10000000000.0,-8.3,-6.9683278
10000000000.0,-7.600000000000001,-6.2432418
10000000000.0,-6.900000000000002,-5.5198836
10000000000.0,-6.200000000000003,-4.8008708
10000000000.0,-5.5,-4.098002200000001
10000000000.0,-4.800000000000001,-3.3989081999999997
10000000000.0,-4.100000000000001,-2.7064124
10000000000.0,-3.400000000000002,-2.0188417999999997
10000000000.0,-2.700000000000003,-1.3168478
10000000000.0,-2.0,-0.61420152
10000000000.0,-1.3000000000000007,0.089418624
10000000000.0,-0.6000000000000014,0.7947064399999999
10000000000.0,0.09999999999999787,1.4882518
10000000000.0,0.7999999999999972,2.1658432
10000000000.0,1.4999999999999964,2.8169741999999998
10000000000.0,2.1999999999999957,3.4787666
10000000000.0,2.8999999999999986,4.1479782
10000000000.0,3.5999999999999943,4.8137822
10000000000.0,4.299999999999997,5.449086599999999
10000000000.0,5.0,6.045952
10195000000.0,-30.0,-27.245456
10195000000.0,-29.3,-26.743596000000004
10195000000.0,-28.6,-26.2368
10195000000.0,-27.9,-25.740186
10195000000.0,-27.2,-25.226356000000003
10195000000.0,-26.5,-24.579582
10195000000.0,-25.8,-23.954584000000004
10195000000.0,-25.1,-23.376182
10195000000.0,-24.4,-22.83903
10195000000.0,-23.7,-22.227668
10195000000.0,-23.0,-21.573742000000003
10195000000.0,-22.3,-20.985512
10195000000.0,-21.6,-20.37878
10195000000.0,-20.9,-19.762652000000003
10195000000.0,-20.200000000000003,-19.09468
10195000000.0,-19.5,-18.389035999999997
10195000000.0,-18.8,-17.669714000000003
10195000000.0,-18.1,-16.953412
10195000000.0,-17.4,-16.275923999999996
