vg [V],det power [dBm],amp current [A],amp power [W],v diff [V]
1.5,-7.330234000000001,0.01,0.06,0.6075215830795271
1.481,-7.217380000000002,0.01,0.06,0.6075215830795271
1.462,-7.047007999999998,0.01,0.06,0.6075215830795271
1.443,-6.808990000000001,0.01,0.06,0.610069967329415
1.424,-6.618724000000004,0.01,0.06,0.6075215830795271
1.405,-6.347004000000005,0.01,0.06,0.6075215830795271
1.3860000000000001,-6.033179999999998,0.01,0.06,0.6075215830795271
1.367,-5.668375999999995,0.02,0.12,0.6075215830795271
1.348,-5.240656000000001,0.02,0.12,0.6075215830795271
1.329,-4.737568,0.02,0.12,0.6075215830795271
1.31,-4.110586000000001,0.02,0.12,0.6075215830795271
1.291,-3.1987319999999997,0.03,0.18,0.6075215830795271
1.272,-2.4071260000000017,0.03,0.18,0.6075215830795271
1.2530000000000001,-1.206349999999997,0.04,0.24,0.6075215830795271
1.234,0.2852899999999998,0.05,0.3,0.6075215830795271
1.215,2.3918719999999993,0.07,0.42,0.6075215830795271
1.196,3.9496199999999995,0.09,0.54,0.6049731988296392
1.177,5.931448,0.11,0.66,0.6049731988296392
1.158,7.969356000000001,0.14,0.84,0.6049731988296392
1.139,10.260379,0.18,1.08,0.6024248145797513
1.12,11.6257208,0.21,1.26,0.6024248145797513
1.101,13.1758714,0.25,1.5,0.5998764303298634
1.082,14.548401,0.3,1.8,0.5973280460799755
1.063,15.989966599999999,0.34,2.04,0.5947796618300876
1.044,16.8357324,0.38,2.28,0.5922312775801997
1.025,17.8150492,0.43,2.58,0.5871345090804239
1.006,18.7209432,0.48,2.88,0.584586124830536
0.987,19.53780148,0.53,3.18,0.5794893563307602
0.968,20.27551514,0.58,3.48,0.5794893563307602
0.9490000000000001,20.95200828,0.63,3.78,0.5743925878309843
0.93,21.57656,0.69,4.14,0.5692958193312085
0.911,22.033427,0.74,4.44,0.5692958193312085
0.892,22.6661234,0.8,4.8,0.5641990508314327
0.873,23.1346706,0.85,5.1,0.5591022823316569
0.854,23.564057599999998,0.91,5.46,0.5540055138318802
0.835,23.9382226,0.97,5.82,0.5514571295819923
0.8160000000000001,24.3334908,1.03,6.18,0.5489087453321044
0.797,24.5614418,1.09,6.54,0.5438119768323286
0.778,24.8294,1.16,6.96,0.5412635925824407
0.759,25.0770108,1.22,7.32,0.5387152083325528
0.74,25.3287756,1.29,7.74,0.5361668240826649
0.721,25.5121504,1.36,8.16,0.5310700555828891
0.7020000000000001,25.7093452,1.43,8.58,0.5285216713330012
0.683,25.8883318,1.51,9.06,0.5259732870831133
0.664,26.0774532,1.58,9.48,0.5208765185833375
0.645,26.1874446,1.66,9.96,0.5208765185833375
0.626,26.3127064,1.74,10.44,0.5183281343334496
0.607,26.4234862,1.82,10.92,0.5132313658336738
0.5880000000000001,26.499504,1.9,11.4,0.5106829815837859
0.5690000000000001,26.620666200000002,1.99,11.94,0.5106829815837859
0.55,26.6776342,2.07,12.42,0.508134597333898
