vg [V],det power [dBm],amp current [A],amp power [W],v diff [V]
1.5,-7.347691999999995,0.93,5.58,0.6075215830795271
1.481,-7.2534319999999965,0.93,5.58,0.6075215830795271
1.462,-7.074831999999997,0.93,5.58,0.6075215830795271
1.443,-6.822626000000003,0.93,5.58,0.6049731988296392
1.424,-6.616667999999997,0.93,5.58,0.6075215830795271
1.405,-6.322151999999999,0.94,5.64,0.6075215830795271
1.3860000000000001,-5.970614000000001,0.94,5.64,0.6049731988296392
1.367,-5.451965999999999,0.94,5.64,0.6075215830795271
1.348,-4.993812000000002,0.95,5.7,0.6075215830795271
1.329,-4.2590520000000005,0.95,5.7,0.6075215830795271
1.31,-3.1927780000000006,0.96,5.76,0.6075215830795271
1.291,-1.3337320000000012,0.96,5.76,0.6075215830795271
1.272,0.4346519999999998,0.98,5.88,0.6075215830795271
1.2530000000000001,2.9817940000000007,1.0,6.0,0.6075215830795271
1.234,5.629159999999999,1.03,6.18,0.6024248145797513
1.215,8.525345999999999,1.06,6.36,0.6075215830795271
1.196,10.113424400000001,1.09,6.54,0.6049731988296392
1.177,11.9255662,1.13,6.78,0.6024248145797513
1.158,13.5361098,1.17,7.02,0.6049731988296392
1.139,15.1982078,1.22,7.32,0.5871345090804239
1.12,16.1184152,1.27,7.62,0.5896828933303118
1.101,17.1897372,1.31,7.85,0.5769409720808722
1.082,18.1417856,1.37,8.21,0.6024248145797513
1.063,19.0652014,1.42,8.51,0.5973280460799755
1.044,19.66956356,1.47,8.81,0.5616506665815448
1.025,20.2870038,1.52,9.1,0.5565538980817681
1.006,20.82307032,1.58,9.46,0.582037740580648
0.987,21.3933566,1.63,9.76,0.5973280460799755
0.968,21.7130306,1.69,10.12,0.5489087453321044
0.9490000000000001,22.0927484,1.74,10.42,0.5973280460799755
0.93,22.4412114,1.81,10.84,0.5947796618300876
0.911,22.8353742,1.86,11.14,0.5922312775801997
0.892,23.0692472,1.93,11.56,0.5438119768323286
0.873,23.3486144,1.99,11.92,0.5489087453321044
0.854,23.6089908,2.05,12.28,0.5922312775801997
0.835,23.8914968,2.11,12.64,0.5616506665815448
0.8160000000000001,24.0585858,2.17,13.0,0.5871345090804239
0.797,24.2551596,2.24,13.42,0.5157797500835617
0.778,24.4390906,2.3,13.78,0.5157797500835617
0.759,24.632334200000003,2.37,14.2,0.5769409720808722
0.74,24.7686886,2.44,14.62,0.5540055138318802
0.721,24.918668,2.51,15.03,0.5743925878309843
0.7020000000000001,25.0642346,2.58,15.45,0.5132313658336738
0.683,25.2241486,2.65,15.87,0.5514571295819923
0.664,25.3190646,2.72,16.29,0.5183281343334496
0.645,25.4366464,2.79,16.71,0.5412635925824407
0.626,25.5473592,2.86,17.13,0.5208765185833375
0.607,25.6700224,2.93,17.55,0.4928442918345697
0.5880000000000001,25.7391142,3.0,17.97,0.5208765185833375
0.5690000000000001,25.821854000000002,3.07,18.39,0.5438119768323286
0.55,25.899701399999998,3.14,18.81,0.485199139084906
