SynthHD Pro power [dBm],vg1 [V],det power [dBm],amp current [A],amp power [W]
-25.0,1.5,-42.11989,0.01,0.06
-25.0,1.475,-43.37008800000001,0.01,0.06
-25.0,1.45,-43.857708,0.01,0.06
-25.0,1.425,-44.20754600000001,0.01,0.06
-25.0,1.4,-44.463027999999994,0.01,0.06
-25.0,1.375,-44.84567000000001,0.01,0.06
-25.0,1.35,-44.833444000000014,0.01,0.06
-25.0,1.325,-44.702968,0.01,0.06
-25.0,1.3,-44.822126,0.01,0.06
-25.0,1.275,-44.783947999999995,0.01,0.06
-25.0,1.25,-44.690383999999995,0.01,0.06
-25.0,1.225,-44.61313200000001,0.01,0.06
-25.0,1.2,-44.536820000000006,0.01,0.06
-25.0,1.175,-44.57942600000001,0.01,0.06
-25.0,1.15,-44.53412999999999,0.01,0.06
-25.0,1.125,-44.497866,0.01,0.06
-25.0,1.1,-44.43911,0.01,0.06
-25.0,1.075,-44.4966,0.01,0.06
-25.0,1.05,-44.524992,0.01,0.06
-25.0,1.025,-44.509817999999996,0.01,0.06
-25.0,1.0,-44.52637,0.01,0.06
-25.0,0.975,-44.515823999999995,0.01,0.06
-25.0,0.95,-44.384150000000005,0.01,0.06
-25.0,0.9249999999999999,-43.907096,0.02,0.12
-25.0,0.8999999999999999,-42.727918,0.03,0.18
-25.0,0.875,-40.11247999999999,0.04,0.24
-25.0,0.85,-33.963837999999996,0.06,0.36
-25.0,0.825,-19.000204000000004,0.09,0.54
-25.0,0.7999999999999999,-14.995970000000007,0.13,0.78
-25.0,0.7749999999999999,-11.810658,0.18,1.08
-25.0,0.75,-10.238314000000003,0.25,1.5
-25.0,0.725,-8.436551999999999,0.33,1.98
-25.0,0.7,-7.338156000000005,0.42,2.52
-25.0,0.6749999999999999,-6.459464000000004,0.52,3.12
-25.0,0.6499999999999999,-5.894334000000004,0.64,3.84
-25.0,0.625,-5.200201999999997,0.76,4.56
-25.0,0.6,-4.787687999999996,0.88,5.28
-25.0,0.575,-4.467704000000001,1.02,6.12
-25.0,0.5499999999999999,-4.285428,1.17,7.02
-25.0,0.5249999999999999,-4.078178000000001,1.32,7.92
-25.0,0.5,-3.957090000000001,1.47,8.82
-24.4,1.5,-35.67461000000001,0.01,0.06
-24.4,1.475,-43.99740200000001,0.01,0.06
-24.4,1.45,-43.676918,0.01,0.06
-24.4,1.425,-43.326548,0.01,0.06
-24.4,1.4,-43.390506,0.01,0.06
-24.4,1.375,-43.71725,0.01,0.06
-24.4,1.35,-43.858694,0.01,0.06
-24.4,1.325,-44.027996,0.01,0.06
-24.4,1.3,-43.945803999999995,0.01,0.06
-24.4,1.275,-43.86938200000001,0.01,0.06
-24.4,1.25,-43.87092399999999,0.01,0.06
-24.4,1.225,-43.786595999999996,0.01,0.06
-24.4,1.2,-43.794323999999996,0.01,0.06
-24.4,1.175,-43.811648000000005,0.01,0.06
-24.4,1.15,-43.738374,0.01,0.06
-24.4,1.125,-43.71567,0.01,0.06
-24.4,1.1,-43.662612,0.01,0.06
-24.4,1.075,-43.678192,0.01,0.06
-24.4,1.05,-43.674246,0.01,0.06
-24.4,1.025,-43.727987999999996,0.01,0.06
-24.4,1.0,-43.753460000000004,0.01,0.06
-24.4,0.975,-43.703782000000004,0.01,0.06
-24.4,0.95,-43.587458000000005,0.01,0.06
-24.4,0.9249999999999999,-43.209770000000006,0.02,0.12
-24.4,0.8999999999999999,-41.973766,0.03,0.18
-24.4,0.875,-39.61702799999999,0.04,0.24
-24.4,0.85,-35.023488,0.06,0.36
-24.4,0.825,-17.223501999999996,0.09,0.54
-24.4,0.7999999999999999,-13.52561,0.13,0.78
-24.4,0.7749999999999999,-11.348561999999998,0.18,1.08
-24.4,0.75,-8.979368000000001,0.25,1.5
-24.4,0.725,-7.589509999999997,0.33,1.98
-24.4,0.7,-6.534095999999998,0.42,2.52
-24.4,0.6749999999999999,-5.853490000000001,0.52,3.12
-24.4,0.6499999999999999,-5.018963999999997,0.63,3.78
-24.4,0.625,-4.478591999999999,0.76,4.56
-24.4,0.6,-4.081952000000001,0.88,5.28
-24.4,0.575,-3.8373799999999996,1.02,6.12
-24.4,0.5499999999999999,-3.5642799999999966,1.17,7.02
-24.4,0.5249999999999999,-3.4121320000000033,1.32,7.92
-24.4,0.5,-3.288328,1.47,8.82
-23.8,1.5,-26.521429999999995,0.01,0.06
-23.8,1.475,-41.725221999999995,0.01,0.06
-23.8,1.45,-42.275778,0.01,0.06
-23.8,1.425,-42.529994,0.01,0.06
-23.8,1.4,-42.66624399999999,0.01,0.06
-23.8,1.375,-42.679944,0.01,0.06
-23.8,1.35,-42.626383999999995,0.01,0.06
-23.8,1.325,-42.59226199999999,0.01,0.06
-23.8,1.3,-42.518626,0.01,0.06
-23.8,1.275,-42.44786999999999,0.01,0.06
-23.8,1.25,-42.414441999999994,0.01,0.06
-23.8,1.225,-42.432069999999996,0.01,0.06
