synthd power [dBm],det power [dBm],amp current [A],amp power [W],v diff [V]
-20.0,3.3290419999999976,0.66,3.96,0.5922312775801997
-19.56,5.6227599999999995,0.67,4.02,0.5922312775801997
-19.12,7.912598000000001,0.67,4.02,0.5922312775801997
-18.68,10.2879832,0.68,4.08,0.5896828933303118
-18.24,12.625929199999998,0.7,4.2,0.5896828933303118
-17.8,14.4280022,0.72,4.32,0.5871345090804239
-17.36,15.8659882,0.73,4.38,0.5871345090804239
-16.92,17.4877412,0.76,4.56,0.582037740580648
-16.48,19.11603738,0.8,4.8,0.5769409720808722
-16.04,20.18583856,0.83,4.98,0.5718442035810964
-15.6,20.98687328,0.87,5.22,0.5692958193312085
-15.16,21.7258604,0.9,5.4,0.5667474350813206
-14.719999999999999,22.3724944,0.94,5.64,0.5616506665815448
-14.280000000000001,22.9169192,0.97,5.82,0.5591022823316569
-13.84,23.3950264,1.0,6.0,0.5540055138318802
-13.4,23.8006422,1.03,6.18,0.5514571295819923
-12.96,24.109036,1.05,6.3,0.5489087453321044
-12.52,24.3356644,1.07,6.42,0.5463603610822165
-12.08,24.4847386,1.08,6.48,0.5438119768323286
-11.64,24.5801188,1.09,6.54,0.5438119768323286
-11.2,24.6356376,1.1,6.6,0.5438119768323286
-10.76,24.6653898,1.1,6.6,0.5438119768323286
-10.32,24.6827058,1.1,6.6,0.5412635925824407
-9.88,24.6919612,1.1,6.6,0.5438119768323286
-9.44,24.696696,1.1,6.6,0.5412635925824407
-9.0,24.6958338,1.1,6.6,0.5438119768323286
-8.56,24.6899462,1.1,6.6,0.5438119768323286
-8.12,24.6785968,1.1,6.6,0.5438119768323286
-7.68,24.6652448,1.1,6.6,0.5438119768323286
-7.24,24.651111,1.1,6.6,0.5438119768323286
-6.800000000000001,24.638097600000002,1.1,6.6,0.5438119768323286
-6.359999999999999,24.6241394,1.1,6.6,0.5438119768323286
-5.92,24.6127554,1.1,6.6,0.5438119768323286
-5.48,24.6049102,1.1,6.6,0.5438119768323286
-5.039999999999999,24.5986714,1.1,6.6,0.5412635925824407
-4.6,24.594975599999998,1.1,6.6,0.5438119768323286
-4.16,24.5916034,1.1,6.6,0.5438119768323286
-3.719999999999999,24.5910012,1.1,6.6,0.5438119768323286
-3.280000000000001,24.588887200000002,1.1,6.6,0.5438119768323286
-2.84,24.5894956,1.1,6.6,0.5438119768323286
-2.3999999999999986,24.5896536,1.1,6.6,0.5438119768323286
-1.9600000000000009,24.5914728,1.1,6.6,0.5438119768323286
-1.5199999999999996,24.5924138,1.1,6.6,0.5438119768323286
-1.0799999999999983,24.5936396,1.1,6.6,0.5412635925824407
-0.6400000000000006,24.592737,1.1,6.6,0.5438119768323286
-0.1999999999999993,24.5921566,1.1,6.6,0.5412635925824407
0.23999999999999844,24.5903188,1.1,6.6,0.5412635925824407
0.6799999999999997,24.5868908,1.1,6.6,0.5438119768323286
1.120000000000001,24.581258599999998,1.1,6.6,0.5438119768323286
1.5599999999999987,24.5723576,1.09,6.54,0.5412635925824407
2.0,24.559334,1.09,6.54,0.5438119768323286
