vg1 [V],vg2 [V],det power [dBm],amp current [A],amp power [W]
1.475,1.375,-10.91028,0.01,0.06
1.475,1.35,-10.910703999999999,0.01,0.06
1.475,1.325,-10.911045999999999,0.01,0.06
1.475,1.3,-10.911802000000002,0.01,0.06
1.475,1.275,-10.910708,0.01,0.06
1.475,1.25,-10.911108000000002,0.01,0.06
1.475,1.225,-10.910820000000001,0.01,0.06
1.475,1.2,-10.910899999999998,0.01,0.06
1.475,1.175,-10.910665999999999,0.01,0.06
1.475,1.15,-10.911228000000001,0.01,0.06
1.475,1.125,-10.911724000000003,0.02,0.12
1.475,1.1,-10.911900000000003,0.02,0.12
1.475,1.075,-10.912916000000003,0.03,0.18
1.475,1.05,-10.913801999999997,0.05,0.3
1.475,1.025,-10.915175999999995,0.07,0.42
1.475,1.0,-10.915432000000003,0.1,0.6
1.475,0.975,-10.917216000000003,0.14,0.84
1.475,0.95,-10.919998,0.19,1.14
1.475,0.9249999999999999,-10.921676000000001,0.25,1.5
1.475,0.8999999999999999,-10.923271999999997,0.32,1.92
1.475,0.875,-10.925074000000002,0.39,2.34
1.475,0.85,-10.929972000000003,0.48,2.88
1.475,0.825,-10.933686000000002,0.57,3.42
1.475,0.7999999999999999,-10.937108000000002,0.67,4.02
1.475,0.7749999999999999,-10.94042,0.78,4.68
1.475,0.75,-10.943930000000002,0.89,5.34
1.475,0.725,-10.949094000000002,1.01,6.06
1.475,0.7,-10.952423999999997,1.13,6.78
1.475,0.6749999999999999,-10.956228,1.26,7.56
1.475,0.6499999999999999,-10.959145999999997,1.39,8.34
1.475,0.625,-10.964590000000005,1.52,9.12
1.475,0.6,-10.969438000000004,1.65,9.9
1.475,0.575,-10.973313999999998,1.79,10.74
1.475,0.5499999999999999,-10.977085999999996,1.92,11.52
1.475,0.5249999999999999,-10.980068,2.05,12.3
1.475,0.5,-10.985398000000004,2.18,13.08
1.45,1.5,-10.887742000000003,0.01,0.06
1.45,1.475,-10.887746,0.01,0.06
1.45,1.45,-10.888424000000004,0.01,0.06
1.45,1.425,-10.886688,0.01,0.06
1.45,1.4,-10.886678,0.01,0.06
1.45,1.375,-10.889339999999997,0.01,0.06
1.45,1.35,-10.888355999999998,0.01,0.06
1.45,1.325,-10.888231999999999,0.01,0.06
1.45,1.3,-10.887965999999999,0.01,0.06
1.45,1.275,-10.888772,0.01,0.06
1.45,1.25,-10.888764000000002,0.01,0.06
1.45,1.225,-10.889281999999998,0.01,0.06
1.45,1.2,-10.889010000000003,0.01,0.06
1.45,1.175,-10.888978000000002,0.01,0.06
1.45,1.15,-10.888898000000001,0.01,0.06
1.45,1.125,-10.889481999999997,0.02,0.12
1.45,1.1,-10.889730000000004,0.02,0.12
1.45,1.075,-10.891686,0.03,0.18
1.45,1.05,-10.891834,0.05,0.3
1.45,1.025,-10.893306000000003,0.07,0.42
1.45,1.0,-10.894628,0.1,0.6
1.45,0.975,-10.896448,0.14,0.84
1.45,0.95,-10.898510000000005,0.19,1.14
1.45,0.9249999999999999,-10.900482,0.25,1.5
1.45,0.8999999999999999,-10.903840000000002,0.32,1.92
1.45,0.875,-10.907710000000002,0.39,2.34
1.45,0.85,-10.910305999999999,0.48,2.88
1.45,0.825,-10.915868,0.57,3.42
1.45,0.7999999999999999,-10.919688,0.67,4.02
1.45,0.7749999999999999,-10.923200000000001,0.78,4.68
1.45,0.75,-10.929527999999998,0.89,5.34
1.45,0.725,-10.934368,1.01,6.06
1.45,0.7,-10.93855,1.13,6.78
1.45,0.6749999999999999,-10.944918000000001,1.26,7.56
1.45,0.6499999999999999,-10.949122,1.39,8.34
1.45,0.625,-10.953748000000001,1.52,9.12
1.45,0.6,-10.958533999999997,1.65,9.9
1.45,0.575,-10.962484,1.79,10.74
1.45,0.5499999999999999,-10.967773999999999,1.92,11.52
1.45,0.5249999999999999,-10.971636,2.05,12.3
1.45,0.5,-10.977201999999998,2.18,13.08
1.425,1.5,-10.877524000000001,0.01,0.06
1.425,1.475,-10.852224,0.01,0.06
1.425,1.45,-10.851761999999997,0.01,0.06
1.425,1.425,-10.853016000000004,0.01,0.06
1.425,1.4,-10.852801999999997,0.01,0.06
1.425,1.375,-10.852826,0.01,0.06
1.425,1.35,-10.853431999999998,0.01,0.06
1.425,1.325,-10.853982000000002,0.01,0.06
1.425,1.3,-10.853597999999998,0.01,0.06
1.425,1.275,-10.853078000000004,0.01,0.06
1.425,1.25,-10.852710000000002,0.01,0.06
1.425,1.225,-10.852342,0.01,0.06
1.425,1.2,-10.852718000000003,0.01,0.06
1.425,1.175,-10.852476000000003,0.01,0.06
1.425,1.15,-10.853336000000002,0.01,0.06
1.425,1.125,-10.854230000000001,0.02,0.12
1.425,1.1,-10.853194000000002,0.02,0.12
1.425,1.075,-10.854354,0.03,0.18
1.425,1.05,-10.855101999999999,0.05,0.3
1.425,1.025,-10.856676000000004,0.07,0.42
1.425,1.0,-10.858918,0.1,0.6
1.425,0.975,-10.862169999999999,0.14,0.84
1.425,0.95,-10.86477,0.19,1.14
1.425,0.9249999999999999,-10.867975999999999,0.25,1.5
1.425,0.8999999999999999,-10.871534000000004,0.32,1.92
1.425,0.875,-10.875907999999999,0.39,2.34
1.425,0.85,-10.880498,0.48,2.88
1.425,0.825,-10.884304000000004,0.57,3.42
1.425,0.7999999999999999,-10.889592000000004,0.67,4.02
1.425,0.7749999999999999,-10.896161999999997,0.78,4.68
1.425,0.75,-10.901508,0.89,5.34
1.425,0.725,-10.907204,1.01,6.06
1.425,0.7,-10.913956000000002,1.13,6.78
1.425,0.6749999999999999,-10.919568000000005,1.26,7.56
1.425,0.6499999999999999,-10.925011999999999,1.39,8.34
1.425,0.625,-10.932119999999998,1.52,9.12
1.425,0.6,-10.937018000000002,1.65,9.9
1.425,0.575,-10.942362000000003,1.79,10.74
1.425,0.5499999999999999,-10.950584000000003,1.92,11.52
1.425,0.5249999999999999,-10.956110000000002,2.05,12.3
1.425,0.5,-10.959456,2.18,13.08
1.4,1.5,-10.829504000000004,0.01,0.06
1.4,1.475,-10.795907999999997,0.01,0.06
1.4,1.45,-10.795616000000003,0.01,0.06
1.4,1.425,-10.794942000000002,0.01,0.06
1.4,1.4,-10.794912,0.01,0.06
1.4,1.375,-10.795051999999998,0.01,0.06
1.4,1.35,-10.794658000000005,0.01,0.06
1.4,1.325,-10.795397999999999,0.01,0.06
1.4,1.3,-10.795132000000002,0.01,0.06
1.4,1.275,-10.795202,0.01,0.06
1.4,1.25,-10.794870000000003,0.01,0.06
1.4,1.225,-10.794671999999998,0.01,0.06
1.4,1.2,-10.794733999999998,0.01,0.06
1.4,1.175,-10.793804000000002,0.01,0.06
1.4,1.15,-10.794094000000001,0.01,0.06
1.4,1.125,-10.794446,0.02,0.12
1.4,1.1,-10.795393999999998,0.02,0.12
1.4,1.075,-10.796788,0.03,0.18
1.4,1.05,-10.798669999999998,0.05,0.3
1.4,1.025,-10.799775999999998,0.07,0.42
1.4,1.0,-10.802222,0.1,0.6
1.4,0.975,-10.804390000000001,0.14,0.84
1.4,0.95,-10.80847,0.19,1.14
1.4,0.9249999999999999,-10.812657999999999,0.25,1.5
1.4,0.8999999999999999,-10.817442,0.32,1.92
1.4,0.875,-10.821942,0.4,2.4
1.4,0.85,-10.828118,0.48,2.88
1.4,0.825,-10.835496,0.57,3.42
1.4,0.7999999999999999,-10.842122,0.67,4.02
1.4,0.7749999999999999,-10.848734,0.78,4.68
1.4,0.75,-10.855740000000004,0.89,5.34
1.4,0.725,-10.863945999999999,1.01,6.06
1.4,0.7,-10.870870000000004,1.13,6.78
1.4,0.6749999999999999,-10.877748000000004,1.26,7.56
1.4,0.6499999999999999,-10.886164,1.39,8.34
1.4,0.625,-10.894352000000005,1.52,9.12
1.4,0.6,-10.900738,1.65,9.9
1.4,0.575,-10.910184000000005,1.79,10.74
1.4,0.5499999999999999,-10.916276,1.92,11.52
1.4,0.5249999999999999,-10.924122,2.05,12.3
1.4,0.5,-10.93063,2.18,13.08
1.375,1.5,-10.757424000000004,0.01,0.06
1.375,1.475,-10.713193999999998,0.01,0.06
1.375,1.45,-10.713422000000001,0.01,0.06
1.375,1.425,-10.713136000000002,0.01,0.06
1.375,1.4,-10.713286,0.01,0.06
1.375,1.375,-10.713756,0.01,0.06
1.375,1.35,-10.712637999999998,0.01,0.06
1.375,1.325,-10.712986,0.01,0.06
1.375,1.3,-10.712765999999998,0.01,0.06
1.375,1.275,-10.712700000000002,0.01,0.06
1.375,1.25,-10.713598000000001,0.01,0.06
1.375,1.225,-10.713482000000006,0.01,0.06
1.375,1.2,-10.713815999999998,0.01,0.06
1.375,1.175,-10.713570000000004,0.01,0.06
1.375,1.15,-10.713779999999996,0.01,0.06
1.375,1.125,-10.714123999999998,0.02,0.12
1.375,1.1,-10.713448,0.02,0.12
1.375,1.075,-10.715238,0.03,0.18
1.375,1.05,-10.716879999999996,0.05,0.3
1.375,1.025,-10.718363999999998,0.07,0.42
1.375,1.0,-10.721775999999998,0.1,0.6
1.375,0.975,-10.724543999999998,0.14,0.84
1.375,0.95,-10.731484000000002,0.19,1.14
1.375,0.9249999999999999,-10.736327999999997,0.25,1.5
1.375,0.8999999999999999,-10.742304,0.32,1.92
1.375,0.875,-10.750166,0.39,2.34
1.375,0.85,-10.756043999999996,0.48,2.88
1.375,0.825,-10.764404000000003,0.57,3.42
1.375,0.7999999999999999,-10.774622,0.67,4.02
1.375,0.7749999999999999,-10.783450000000006,0.78,4.68
1.375,0.75,-10.793520000000001,0.89,5.34
1.375,0.725,-10.800512000000005,1.01,6.06
1.375,0.7,-10.811734000000001,1.13,6.78
1.375,0.6749999999999999,-10.82215,1.26,7.56
1.375,0.6499999999999999,-10.829652000000003,1.39,8.34
1.375,0.625,-10.843252,1.52,9.12
1.375,0.6,-10.852800000000002,1.65,9.9
1.375,0.575,-10.862216,1.79,10.74
1.375,0.5499999999999999,-10.871502,1.92,11.52
1.375,0.5249999999999999,-10.880068000000001,2.05,12.3
1.375,0.5,-10.887888000000004,2.18,13.08
1.35,1.5,-10.658438,0.01,0.06
1.35,1.475,-10.59939,0.01,0.06
1.35,1.45,-10.59996,0.01,0.06
1.35,1.425,-10.598602,0.01,0.06
1.35,1.4,-10.59871,0.01,0.06
1.35,1.375,-10.599288000000001,0.01,0.06
1.35,1.35,-10.598802,0.01,0.06
1.35,1.325,-10.598441999999999,0.01,0.06
1.35,1.3,-10.598188,0.01,0.06
1.35,1.275,-10.598400000000005,0.01,0.06
1.35,1.25,-10.598719999999997,0.01,0.06
1.35,1.225,-10.599004,0.01,0.06
1.35,1.2,-10.597912,0.01,0.06
1.35,1.175,-10.59807,0.01,0.06
1.35,1.15,-10.597986000000002,0.02,0.12
1.35,1.125,-10.59825,0.02,0.12
1.35,1.1,-10.598934000000003,0.02,0.12
1.35,1.075,-10.600468,0.04,0.24
1.35,1.05,-10.601781999999996,0.05,0.3
1.35,1.025,-10.604059999999997,0.07,0.42
1.35,1.0,-10.607832000000002,0.1,0.6
1.35,0.975,-10.613014,0.15,0.9
1.35,0.95,-10.619015999999998,0.19,1.14
1.35,0.9249999999999999,-10.626632,0.25,1.5
1.35,0.8999999999999999,-10.632767999999999,0.32,1.92
1.35,0.875,-10.644010000000002,0.4,2.4
1.35,0.85,-10.652708,0.48,2.88
1.35,0.825,-10.664022,0.57,3.42
1.35,0.7999999999999999,-10.675774,0.67,4.02
1.35,0.7749999999999999,-10.687124,0.78,4.68
1.35,0.75,-10.698356,0.89,5.34
1.35,0.725,-10.709299999999995,1.01,6.06
1.35,0.7,-10.724900000000002,1.13,6.78
1.35,0.6749999999999999,-10.737321999999999,1.26,7.56
1.35,0.6499999999999999,-10.750477999999998,1.39,8.34
1.35,0.625,-10.764987999999999,1.52,9.12
1.35,0.6,-10.775265999999998,1.65,9.9
1.35,0.575,-10.786892000000002,1.79,10.74
1.35,0.5499999999999999,-10.799786000000001,1.92,11.52
1.35,0.5249999999999999,-10.811167999999999,2.05,12.3
1.35,0.5,-10.821288,2.18,13.08
1.325,1.5,-10.600822000000004,0.01,0.06
1.325,1.475,-10.451798000000004,0.01,0.06
1.325,1.45,-10.451542,0.01,0.06
1.325,1.425,-10.451214000000004,0.01,0.06
1.325,1.4,-10.450546000000003,0.01,0.06
1.325,1.375,-10.451215999999999,0.01,0.06
1.325,1.35,-10.451776000000002,0.01,0.06
1.325,1.325,-10.451292000000002,0.01,0.06
1.325,1.3,-10.451720000000002,0.01,0.06
1.325,1.275,-10.452634,0.01,0.06
1.325,1.25,-10.451433999999999,0.01,0.06
1.325,1.225,-10.451796000000002,0.01,0.06
1.325,1.2,-10.451922000000003,0.01,0.06
1.325,1.175,-10.452537999999997,0.01,0.06
1.325,1.15,-10.452179999999998,0.02,0.12
1.325,1.125,-10.452066000000002,0.02,0.12
1.325,1.1,-10.453216000000005,0.03,0.18
1.325,1.075,-10.454239999999999,0.04,0.24
1.325,1.05,-10.456917999999995,0.05,0.3
1.325,1.025,-10.459849999999996,0.07,0.42
1.325,1.0,-10.465114,0.11,0.66
1.325,0.975,-10.470697999999999,0.15,0.9
1.325,0.95,-10.477819999999998,0.19,1.14
1.325,0.9249999999999999,-10.488702,0.25,1.5
1.325,0.8999999999999999,-10.496327999999998,0.32,1.92
1.325,0.875,-10.508412,0.4,2.4
1.325,0.85,-10.523148000000003,0.48,2.88
1.325,0.825,-10.534455999999999,0.57,3.42
1.325,0.7999999999999999,-10.548408000000002,0.67,4.02
1.325,0.7749999999999999,-10.560540000000003,0.78,4.68
1.325,0.75,-10.578592000000004,0.89,5.34
1.325,0.725,-10.594942000000003,1.01,6.06
1.325,0.7,-10.607306000000001,1.13,6.78
1.325,0.6749999999999999,-10.625781999999997,1.26,7.56
1.325,0.6499999999999999,-10.643006000000003,1.39,8.34
1.325,0.625,-10.659146,1.52,9.12
1.325,0.6,-10.675515999999998,1.65,9.9
1.325,0.575,-10.691244000000001,1.79,10.74
1.325,0.5499999999999999,-10.704919999999998,1.92,11.52
1.325,0.5249999999999999,-10.720289999999999,2.05,12.3
1.325,0.5,-10.734202,2.18,13.08
1.3,1.5,-10.446032000000002,0.01,0.06
1.3,1.475,-10.259262,0.01,0.06
1.3,1.45,-10.258546000000003,0.01,0.06
1.3,1.425,-10.259262,0.01,0.06
1.3,1.4,-10.259500000000003,0.01,0.06
1.3,1.375,-10.258972,0.01,0.06
1.3,1.35,-10.259042,0.01,0.06
1.3,1.325,-10.258536000000003,0.01,0.06
1.3,1.3,-10.259129999999999,0.01,0.06
1.3,1.275,-10.258999999999997,0.01,0.06
1.3,1.25,-10.260550000000002,0.01,0.06
1.3,1.225,-10.259543999999998,0.01,0.06
1.3,1.2,-10.259138,0.01,0.06
1.3,1.175,-10.26059,0.01,0.06
1.3,1.15,-10.26072,0.02,0.12
1.3,1.125,-10.260296,0.02,0.12
1.3,1.1,-10.261504000000002,0.03,0.18
1.3,1.075,-10.263238000000001,0.04,0.24
1.3,1.05,-10.266818,0.05,0.3
1.3,1.025,-10.270166,0.07,0.42
1.3,1.0,-10.274481999999999,0.11,0.66
1.3,0.975,-10.283677999999998,0.15,0.9
1.3,0.95,-10.291906,0.2,1.2
1.3,0.9249999999999999,-10.302841999999998,0.25,1.5
1.3,0.8999999999999999,-10.318084000000006,0.32,1.92
1.3,0.875,-10.32847,0.4,2.4
1.3,0.85,-10.343777999999997,0.48,2.88
1.3,0.825,-10.361038,0.57,3.42
1.3,0.7999999999999999,-10.37676,0.67,4.02
1.3,0.7749999999999999,-10.395708000000003,0.78,4.68
1.3,0.75,-10.410683999999996,0.89,5.34
1.3,0.725,-10.434483999999998,1.01,6.06
1.3,0.7,-10.454922,1.13,6.78
1.3,0.6749999999999999,-10.471247999999996,1.26,7.56
1.3,0.6499999999999999,-10.495470000000001,1.39,8.34
1.3,0.625,-10.516815999999999,1.52,9.12
1.3,0.6,-10.535874,1.65,9.9
1.3,0.575,-10.557085999999998,1.79,10.74
1.3,0.5499999999999999,-10.575498,1.92,11.52
1.3,0.5249999999999999,-10.590942000000002,2.05,12.3
1.3,0.5,-10.612309999999997,2.18,13.08
1.275,1.5,-10.144288000000007,0.01,0.06
1.275,1.475,-10.025247999999998,0.01,0.06
1.275,1.45,-10.026344000000002,0.01,0.06
1.275,1.425,-10.025136000000003,0.01,0.06
1.275,1.4,-10.025445999999999,0.01,0.06
1.275,1.375,-10.025452000000001,0.01,0.06
1.275,1.35,-10.025042000000003,0.01,0.06
1.275,1.325,-10.025502,0.01,0.06
1.275,1.3,-10.024729999999998,0.01,0.06
1.275,1.275,-10.025648,0.01,0.06
1.275,1.25,-10.024567999999999,0.01,0.06
1.275,1.225,-10.025191999999997,0.01,0.06
1.275,1.2,-10.025277999999997,0.01,0.06
1.275,1.175,-10.025940000000002,0.02,0.12
1.275,1.15,-10.026505999999994,0.02,0.12
1.275,1.125,-10.026366000000003,0.02,0.12
1.275,1.1,-10.027724,0.03,0.18
1.275,1.075,-10.028883999999998,0.04,0.24
1.275,1.05,-10.033183999999999,0.05,0.3
1.275,1.025,-10.037716,0.08,0.48
1.275,1.0,-10.045123999999998,0.11,0.66
1.275,0.975,-10.054182000000004,0.15,0.9
1.275,0.95,-10.063317999999999,0.2,1.2
1.275,0.9249999999999999,-10.080456000000005,0.25,1.5
1.275,0.8999999999999999,-10.092928,0.32,1.92
1.275,0.875,-10.109042000000006,0.4,2.4
1.275,0.85,-10.131927999999998,0.48,2.88
1.275,0.825,-10.147998000000001,0.57,3.42
1.275,0.7999999999999999,-10.16929,0.67,4.02
1.275,0.7749999999999999,-10.185892000000003,0.78,4.68
1.275,0.75,-10.21413,0.89,5.34
1.275,0.725,-10.238484,1.01,6.06
1.275,0.7,-10.258518000000002,1.14,6.84
1.275,0.6749999999999999,-10.287878,1.26,7.56
1.275,0.6499999999999999,-10.312350000000002,1.39,8.34
1.275,0.625,-10.339019999999998,1.52,9.12
1.275,0.6,-10.367662000000003,1.65,9.9
1.275,0.575,-10.387216000000002,1.79,10.74
1.275,0.5499999999999999,-10.411853999999998,1.92,11.52
1.275,0.5249999999999999,-10.429201999999997,2.05,12.3
1.275,0.5,-10.455827999999997,2.19,13.14
1.25,1.5,-9.875931999999999,0.01,0.06
1.25,1.475,-9.729346,0.01,0.06
1.25,1.45,-9.729269999999996,0.01,0.06
1.25,1.425,-9.729662000000001,0.01,0.06
1.25,1.4,-9.730308,0.01,0.06
1.25,1.375,-9.730524000000003,0.01,0.06
1.25,1.35,-9.729701999999996,0.01,0.06
1.25,1.325,-9.730266,0.01,0.06
1.25,1.3,-9.729546,0.01,0.06
1.25,1.275,-9.729517999999995,0.01,0.06
1.25,1.25,-9.728413999999997,0.01,0.06
1.25,1.225,-9.729676000000001,0.01,0.06
1.25,1.2,-9.729419999999998,0.02,0.12
1.25,1.175,-9.729762000000001,0.02,0.12
1.25,1.15,-9.729928000000001,0.02,0.12
1.25,1.125,-9.730914000000002,0.02,0.12
1.25,1.1,-9.731497999999998,0.03,0.18
1.25,1.075,-9.73537,0.04,0.24
1.25,1.05,-9.739722,0.05,0.3
1.25,1.025,-9.744833999999997,0.08,0.48
1.25,1.0,-9.754494000000001,0.11,0.66
1.25,0.975,-9.764147999999999,0.15,0.9
1.25,0.95,-9.778699999999997,0.2,1.2
1.25,0.9249999999999999,-9.793412,0.26,1.56
1.25,0.8999999999999999,-9.808212000000005,0.32,1.92
1.25,0.875,-9.835068,0.4,2.4
1.25,0.85,-9.852682000000005,0.48,2.88
1.25,0.825,-9.876628,0.57,3.42
1.25,0.7999999999999999,-9.907125999999998,0.67,4.02
1.25,0.7749999999999999,-9.929198000000003,0.78,4.68
1.25,0.75,-9.956882,0.89,5.34
1.25,0.725,-9.987959999999998,1.01,6.06
1.25,0.7,-10.017220000000002,1.14,6.84
1.25,0.6749999999999999,-10.047338000000003,1.26,7.56
1.25,0.6499999999999999,-10.072036000000004,1.39,8.34
1.25,0.625,-10.11447,1.52,9.12
1.25,0.6,-10.137408,1.66,9.96
1.25,0.575,-10.168140000000001,1.79,10.74
1.25,0.5499999999999999,-10.203237999999999,1.92,11.52
1.25,0.5249999999999999,-10.224277999999998,2.05,12.3
1.25,0.5,-10.251513999999997,2.19,13.14
1.225,1.5,-9.731952,0.01,0.06
1.225,1.475,-9.380099999999999,0.01,0.06
1.225,1.45,-9.379810000000003,0.01,0.06
1.225,1.425,-9.380186000000002,0.01,0.06
1.225,1.4,-9.379919999999998,0.01,0.06
1.225,1.375,-9.380920000000003,0.01,0.06
1.225,1.35,-9.381078000000002,0.01,0.06
1.225,1.325,-9.380808000000002,0.01,0.06
1.225,1.3,-9.379327999999997,0.01,0.06
1.225,1.275,-9.381002000000002,0.01,0.06
1.225,1.25,-9.380095999999998,0.01,0.06
1.225,1.225,-9.380916000000003,0.02,0.12
1.225,1.2,-9.380704000000001,0.02,0.12
1.225,1.175,-9.381990000000002,0.02,0.12
1.225,1.15,-9.383228000000003,0.02,0.12
1.225,1.125,-9.382828,0.02,0.12
1.225,1.1,-9.385883999999997,0.03,0.18
1.225,1.075,-9.388074,0.04,0.24
1.225,1.05,-9.391750000000002,0.06,0.36
1.225,1.025,-9.399939999999997,0.08,0.48
1.225,1.0,-9.407969999999995,0.11,0.66
1.225,0.975,-9.423226,0.15,0.9
1.225,0.95,-9.438127999999999,0.2,1.2
1.225,0.9249999999999999,-9.454585999999999,0.26,1.56
1.225,0.8999999999999999,-9.480083999999998,0.32,1.92
1.225,0.875,-9.502177999999997,0.4,2.4
1.225,0.85,-9.528488,0.48,2.88
1.225,0.825,-9.557112,0.58,3.48
1.225,0.7999999999999999,-9.58737,0.67,4.02
1.225,0.7749999999999999,-9.616642000000002,0.78,4.68
1.225,0.75,-9.653004,0.89,5.34
1.225,0.725,-9.688408000000003,1.01,6.06
1.225,0.7,-9.717246,1.14,6.84
1.225,0.6749999999999999,-9.764400000000002,1.26,7.56
1.225,0.6499999999999999,-9.796336000000004,1.39,8.34
1.225,0.625,-9.832133999999996,1.53,9.18
1.225,0.6,-9.875405999999998,1.66,9.96
1.225,0.575,-9.903268000000004,1.79,10.74
1.225,0.5499999999999999,-9.938299999999998,1.93,11.58
1.225,0.5249999999999999,-9.965921999999999,2.05,12.3
1.225,0.5,-10.004453999999999,2.19,13.14
1.2,1.5,-9.159712000000003,0.01,0.06
1.2,1.475,-8.947099999999999,0.01,0.06
1.2,1.45,-8.948097999999998,0.01,0.06
1.2,1.425,-8.946028000000002,0.01,0.06
1.2,1.4,-8.946824,0.01,0.06
1.2,1.375,-8.947180000000003,0.01,0.06
1.2,1.35,-8.947625999999996,0.01,0.06
1.2,1.325,-8.947048000000002,0.02,0.12
1.2,1.3,-8.947210000000002,0.02,0.12
1.2,1.275,-8.945964000000004,0.02,0.12
1.2,1.25,-8.946221999999999,0.02,0.12
1.2,1.225,-8.946280000000002,0.02,0.12
1.2,1.2,-8.947104000000003,0.02,0.12
1.2,1.175,-8.948356,0.02,0.12
1.2,1.15,-8.949293999999998,0.02,0.12
1.2,1.125,-8.951272,0.02,0.12
1.2,1.1,-8.951616000000001,0.03,0.18
1.2,1.075,-8.957339999999999,0.04,0.24
1.2,1.05,-8.963491999999995,0.06,0.36
1.2,1.025,-8.97027,0.08,0.48
1.2,1.0,-8.982240000000001,0.11,0.66
1.2,0.975,-8.995076000000001,0.15,0.9
1.2,0.95,-9.016478,0.2,1.2
1.2,0.9249999999999999,-9.039902000000001,0.26,1.56
1.2,0.8999999999999999,-9.061336,0.33,1.98
1.2,0.875,-9.096479999999996,0.4,2.4
1.2,0.85,-9.124637999999997,0.48,2.88
1.2,0.825,-9.158006,0.58,3.48
1.2,0.7999999999999999,-9.19379,0.67,4.02
1.2,0.7749999999999999,-9.232803999999998,0.78,4.68
1.2,0.75,-9.267441999999999,0.89,5.34
1.2,0.725,-9.315462000000004,1.01,6.06
1.2,0.7,-9.358008000000002,1.14,6.84
1.2,0.6749999999999999,-9.400765999999997,1.26,7.56
1.2,0.6499999999999999,-9.453622000000003,1.39,8.34
1.2,0.625,-9.487617999999998,1.53,9.18
1.2,0.6,-9.529469999999996,1.66,9.96
1.2,0.575,-9.573685999999999,1.79,10.74
1.2,0.5499999999999999,-9.62273,1.92,11.52
1.2,0.5249999999999999,-9.654891999999997,2.05,12.3
1.2,0.5,-9.694783999999999,2.19,13.14
1.175,1.5,-8.686950000000003,0.01,0.06
1.175,1.475,-8.431778000000001,0.02,0.12
1.175,1.45,-8.431468000000002,0.02,0.12
1.175,1.425,-8.432465999999998,0.02,0.12
1.175,1.4,-8.432103999999999,0.02,0.12
1.175,1.375,-8.431673999999997,0.02,0.12
1.175,1.35,-8.431900000000002,0.02,0.12
1.175,1.325,-8.432002,0.02,0.12
1.175,1.3,-8.431306,0.02,0.12
1.175,1.275,-8.431094000000002,0.02,0.12
1.175,1.25,-8.431116000000003,0.02,0.12
1.175,1.225,-8.430025999999998,0.02,0.12
1.175,1.2,-8.431812,0.02,0.12
1.175,1.175,-8.433346,0.02,0.12
1.175,1.15,-8.434456,0.02,0.12
1.175,1.125,-8.435706000000003,0.03,0.18
1.175,1.1,-8.438300000000005,0.03,0.18
1.175,1.075,-8.443252000000001,0.04,0.24
1.175,1.05,-8.447512,0.06,0.36
1.175,1.025,-8.458652,0.08,0.48
1.175,1.0,-8.473762,0.11,0.66
1.175,0.975,-8.491575999999998,0.15,0.9
