vg1 [V],vg2 [V],det power [dBm],amp current [A],amp power [W]
1.5,1.5,-10.891946,0.01,0.06
1.5,1.475,-10.916290000000004,0.01,0.06
1.5,1.45,-10.916751999999995,0.01,0.06
1.5,1.425,-10.919103999999997,0.01,0.06
1.5,1.4,-10.933189999999996,0.01,0.06
1.5,1.375,-10.939339999999998,0.01,0.06
1.5,1.35,-10.939463999999997,0.01,0.06
1.5,1.325,-10.941014000000003,0.01,0.06
1.5,1.3,-10.944998000000005,0.01,0.06
1.5,1.275,-10.946472,0.01,0.06
1.5,1.25,-10.946886,0.01,0.06
1.5,1.225,-10.948094000000005,0.01,0.06
1.5,1.2,-10.946890000000003,0.01,0.06
1.5,1.175,-10.948080000000004,0.01,0.06
1.5,1.15,-10.947082000000002,0.01,0.06
1.5,1.125,-10.949425999999999,0.02,0.12
1.5,1.1,-10.946192000000003,0.03,0.18
1.5,1.075,-10.94595,0.04,0.24
1.5,1.05,-10.944212,0.05,0.3
1.5,1.025,-10.945382000000002,0.07,0.42
1.5,1.0,-10.943173999999999,0.11,0.66
1.5,0.975,-10.943403999999997,0.15,0.9
1.5,0.95,-10.940885999999999,0.2,1.2
1.5,0.9249999999999999,-10.942854,0.26,1.56
1.5,0.8999999999999999,-10.943081999999997,0.32,1.92
1.5,0.875,-10.945420000000002,0.4,2.4
1.5,0.85,-10.945671999999995,0.48,2.88
1.5,0.825,-10.948178000000002,0.57,3.42
1.5,0.7999999999999999,-10.951249999999998,0.67,4.02
1.5,0.7749999999999999,-10.953098,0.78,4.68
1.5,0.75,-10.954028000000001,0.89,5.34
1.5,0.725,-10.957154000000003,1.01,6.06
1.5,0.7,-10.961450000000003,1.13,6.78
1.5,0.6749999999999999,-10.964569999999998,1.26,7.56
1.5,0.6499999999999999,-10.966514,1.39,8.34
1.5,0.625,-10.970061999999995,1.52,9.12
1.5,0.6,-10.973486000000001,1.65,9.9
1.5,0.575,-10.977599999999995,1.79,10.74
1.5,0.5499999999999999,-10.981034000000001,1.92,11.52
1.5,0.5249999999999999,-10.984919999999999,2.05,12.3
1.5,0.5,-10.987563999999999,2.18,13.08
1.475,1.5,-10.925617999999996,0.01,0.06
1.475,1.475,-10.910671999999998,0.01,0.06
1.475,1.45,-10.91139,0.01,0.06
1.475,1.425,-10.910469999999997,0.01,0.06
1.475,1.4,-10.909298,0.01,0.06
